Index,Time,(Debug_IMU_Data).Euler_Yaw_rad,(Gimbal).Target_Yaw_Speed,(Debug_IMU_Data).Gyro_Z_rad_s
770,0.769962,0,0,0
771,0.771085,0,0,0
772,0.771705,0,0,0
773,0.772811,0,0,0
774,0.773951,0,0,0
775,0.775078,0,0,0
776,0.775698,0,0,0
777,0.776805,0,0,0
778,0.778199,0,0,0
779,0.778904,0,0,0
780,0.780014,0,0,0
781,0.780717,0,0,0
782,0.782075,0,0,0
783,0.782695,0,0,0
784,0.783802,0,0,0
785,0.784944,0,0,0
786,0.786068,0,0,0
787,0.786688,0,0,0
788,0.787794,0,0,0
789,0.789206,0,0,0
790,0.790010,0,0,0
791,0.791146,0,0,0
792,0.791766,0,0,0
793,0.792860,0,0,0
794,0.793999,0,0,0
795,0.795139,0,0,0
796,0.795758,0,0,0
797,0.796852,0,0,0
798,0.797992,0,0,0
799,0.799128,0,0,0
800,0.799868,0,0,0
801,0.801251,0,0,0
802,0.801871,0,0,0
803,0.802984,0,0,0
804,0.804107,0,0,0
805,0.804727,0,0,0
806,0.805837,0,0,0
807,0.806976,0,0,0
808,0.808099,0,0,0
809,0.808719,0,0,0
810,0.809825,0,0,0
811,0.810965,0,0,0
812,0.811794,0,0,0
813,0.813148,0,0,0
814,0.813768,0,0,0
815,0.814865,0,0,0
816,0.816007,0,0,0
817,0.817143,0,0,0
818,0.817763,0,0,0
819,0.818857,0,0,0
820,0.819996,0,0,0
821,0.821133,0,0,0
822,0.821753,0,0,0
823,0.822846,0,0,0
824,0.824271,0,0,0
825,0.825119,0,0,0
826,0.825739,0,0,0
827,0.826835,0,0,0
828,0.827974,0,0,0
829,0.829111,0,0,0
830,0.829731,0,0,0
831,0.830824,0,0,0
832,0.831964,0,0,0
833,0.833303,0,0,0
834,0.834012,0,0,0
835,0.834632,0,0,0
836,0.835979,0,0,0
837,0.836796,0,0,0
838,0.837920,0,0,0
839,0.839059,0,0,0
840,0.839679,0,0,0
841,0.840786,0,0,0
842,0.841909,0,0,0
843,0.843049,0,0,0
844,0.843668,0,0,0
845,0.844775,0,0,0
846,0.845902,0,0,0
847,0.847194,0,0,0
848,0.847877,0,0,0
849,0.849121,0,0,0
850,0.849741,0,0,0
851,0.850847,0,0,0
852,0.851987,0,0,0
853,0.853111,0,0,0
854,0.853730,0,0,0
855,0.854837,0,0,0
856,0.855979,0,0,0
857,0.857103,0,0,0
858,0.857722,0,0,0
859,0.859115,0,0,0
860,0.859833,0,0,0
861,0.860943,0,0,0
862,0.862067,0,0,0
863,0.862687,0,0,0
864,0.863793,0,0,0
865,0.864917,0,0,0
866,0.866058,0,0,0
867,0.866678,0,0,0
868,0.867785,0,0,0
869,0.868908,0,0,0
870,0.870048,0,0,0
871,0.870788,0,0,0
872,0.872154,0,0,0
873,0.872774,0,0,0
874,0.873871,0,0,0
875,0.875013,0,0,0
876,0.875633,0,0,0
877,0.876740,0,0,0
878,0.877864,0,0,0
879,0.879003,0,0,0
880,0.880140,0,0,0
881,0.880760,0,0,0
882,0.881853,0,0,0
883,0.883122,0,0,0
884,0.883829,0,0,0
885,0.885280,0,0,0
886,0.885900,0,0,0
887,0.887013,0,0,0
888,0.887716,0,0,0
889,0.888839,0,0,0
890,0.889978,0,0,0
891,0.891114,0,0,0
892,0.891734,0,0,0
893,0.892828,0,0,0
894,0.893967,0,0,0
895,0.895219,0,0,0
896,0.896054,0,0,0
897,0.896762,0,0,0
898,0.897856,0,0,0
899,0.898996,0,0,0
900,0.900132,0,0,0
901,0.900752,0,0,0
902,0.901846,0,0,0
903,0.902986,0,0,0
904,0.904122,0,0,0
905,0.904742,0,0,0
906,0.905838,0,0,0
907,0.906977,0,0,0
908,0.907805,0,0,0
909,0.909198,0,0,0
910,0.909818,0,0,0
911,0.910914,0,0,0
912,0.912054,0,0,0
913,0.912673,0,0,0
914,0.913780,0,0,0
915,0.914903,0,0,0
916,0.916046,0,0,0
917,0.916666,0,0,0
918,0.917773,0,0,0
919,0.919129,0,0,0
920,0.919812,0,0,0
921,0.921086,0,0,0
922,0.921706,0,0,0
923,0.922813,0,0,0
924,0.923953,0,0,0
925,0.925080,0,0,0
926,0.925700,0,0,0
927,0.926806,0,0,0
928,0.927946,0,0,0
929,0.929069,0,0,0
930,0.929689,0,0,0
931,0.930796,0,0,0
932,0.932194,0,0,0
933,0.932904,0,0,0
934,0.934014,0,0,0
935,0.934718,0,0,0
936,0.935844,0,0,0
937,0.937202,0,0,0
938,0.937822,0,0,0
939,0.938918,0,0,0
940,0.940057,0,0,0
941,0.940677,0,0,0
942,0.941784,0,0,0
943,0.943129,0,0,0
944,0.943812,0,0,0
945,0.945049,0,0,0
946,0.945669,0,0,0
947,0.946776,0,0,0
948,0.947899,0,0,0
949,0.949040,0,0,0
950,0.949659,0,0,0
951,0.950766,0,0,0
952,0.951889,0,0,0
953,0.953029,0,0,0
954,0.953649,0,0,0
955,0.954906,0,0,0
956,0.956236,0,0,0
957,0.956856,0,0,0
958,0.957969,0,0,0
959,0.959093,0,0,0
960,0.959713,0,0,0
961,0.960819,0,0,0
962,0.961959,0,0,0
963,0.963082,0,0,0
