time_s,target_rad_s,now_rad_s,output_A,speed_rpm
1.470000000000000107e+01,-2.000000000000000000e+00,-1.762000000000000011e+00,-3.400000000000000244e-02,-1.499999999999999944e-02
1.480000000000000071e+01,-2.000000000000000000e+00,-1.937000000000000055e+00,-2.699999999999999969e-02,-1.799999999999999864e-02
1.490000000000000036e+01,-2.000000000000000000e+00,-1.860999999999999988e+00,-3.599999999999999728e-02,-1.799999999999999864e-02
1.500000000000000000e+01,2.000000000000000000e+00,-1.935999999999999943e+00,2.479999999999999982e-01,-1.799999999999999864e-02
1.510000000000000142e+01,2.000000000000000000e+00,1.643999999999999906e+00,2.900000000000000147e-02,1.499999999999999944e-02
1.520000000000000107e+01,2.000000000000000000e+00,1.838999999999999968e+00,2.500000000000000139e-02,1.700000000000000122e-02
1.530000000000000071e+01,2.000000000000000000e+00,1.844000000000000083e+00,2.900000000000000147e-02,1.700000000000000122e-02
1.540000000000000036e+01,2.000000000000000000e+00,1.899000000000000021e+00,2.699999999999999969e-02,1.600000000000000033e-02
1.550000000000000000e+01,-2.000000000000000000e+00,2.061999999999999833e+00,-2.610000000000000098e-01,1.799999999999999864e-02
1.560000000000000142e+01,-2.000000000000000000e+00,-1.643999999999999906e+00,-3.599999999999999728e-02,-1.299999999999999940e-02
1.570000000000000107e+01,-2.000000000000000000e+00,-1.764000000000000012e+00,-3.300000000000000155e-02,-1.499999999999999944e-02
1.580000000000000071e+01,-2.000000000000000000e+00,-1.945000000000000062e+00,-2.599999999999999881e-02,-1.799999999999999864e-02
1.590000000000000036e+01,-2.000000000000000000e+00,-1.852000000000000091e+00,-3.699999999999999817e-02,-1.799999999999999864e-02
1.600000000000000000e+01,2.000000000000000000e+00,-1.953000000000000069e+00,2.489999999999999991e-01,-1.799999999999999864e-02
1.610000000000000142e+01,2.000000000000000000e+00,1.649999999999999911e+00,2.800000000000000058e-02,1.499999999999999944e-02
1.619999999999999929e+01,2.000000000000000000e+00,1.850999999999999979e+00,2.400000000000000050e-02,1.700000000000000122e-02
1.630000000000000071e+01,2.000000000000000000e+00,1.840000000000000080e+00,2.999999999999999889e-02,1.600000000000000033e-02
1.640000000000000213e+01,2.000000000000000000e+00,1.887000000000000011e+00,2.800000000000000058e-02,1.600000000000000033e-02
1.650000000000000000e+01,-2.000000000000000000e+00,2.076999999999999957e+00,-2.620000000000000107e-01,1.799999999999999864e-02
1.660000000000000142e+01,-2.000000000000000000e+00,-1.624000000000000110e+00,-3.699999999999999817e-02,-1.299999999999999940e-02
1.669999999999999929e+01,-2.000000000000000000e+00,-1.760999999999999899e+00,-3.400000000000000244e-02,-1.499999999999999944e-02
1.680000000000000071e+01,-2.000000000000000000e+00,-1.917999999999999927e+00,-2.800000000000000058e-02,-1.799999999999999864e-02
1.690000000000000213e+01,-2.000000000000000000e+00,-1.848999999999999977e+00,-3.699999999999999817e-02,-1.799999999999999864e-02
1.700000000000000000e+01,2.000000000000000000e+00,-1.947000000000000064e+00,2.489999999999999991e-01,-1.799999999999999864e-02
1.710000000000000142e+01,2.000000000000000000e+00,1.643000000000000016e+00,2.900000000000000147e-02,1.499999999999999944e-02
1.719999999999999929e+01,2.000000000000000000e+00,1.848000000000000087e+00,2.400000000000000050e-02,1.700000000000000122e-02
1.730000000000000071e+01,2.000000000000000000e+00,1.828999999999999959e+00,2.999999999999999889e-02,1.600000000000000033e-02
1.740000000000000213e+01,2.000000000000000000e+00,1.913999999999999924e+00,2.599999999999999881e-02,1.600000000000000033e-02
1.750000000000000000e+01,-2.000000000000000000e+00,2.068999999999999950e+00,-2.620000000000000107e-01,1.799999999999999864e-02
1.760000000000000142e+01,-2.000000000000000000e+00,-1.629999999999999893e+00,-3.699999999999999817e-02,-1.299999999999999940e-02
1.769999999999999929e+01,-2.000000000000000000e+00,-1.772999999999999909e+00,-3.300000000000000155e-02,-1.499999999999999944e-02
1.780000000000000071e+01,-2.000000000000000000e+00,-1.945999999999999952e+00,-2.599999999999999881e-02,-1.799999999999999864e-02
1.790000000000000213e+01,-2.000000000000000000e+00,-1.832000000000000073e+00,-3.799999999999999906e-02,-1.799999999999999864e-02
1.800000000000000000e+01,1.000000000000000000e+00,-1.963000000000000078e+00,1.799999999999999933e-01,-1.799999999999999864e-02
1.810000000000000142e+01,1.000000000000000000e+00,7.079999999999999627e-01,1.499999999999999944e-02,6.000000000000000125e-03
1.819999999999999929e+01,1.000000000000000000e+00,5.999999999999999778e-01,3.300000000000000155e-02,5.000000000000000104e-03
